expiry,option_type,strike,bid,ask,last,volume,openInterest,mid_price,mid_price_source
2026-06-29,put,250.0,0.0,0.0,0.1,3.0,0,0.1,last_price_fallback
2026-06-29,put,255.0,0.0,0.0,0.01,8.0,0,0.01,last_price_fallback
2026-06-29,put,260.0,0.0,0.0,0.1,7.0,0,0.1,last_price_fallback
2026-06-29,put,262.5,0.0,0.0,0.09,1.0,0,0.09,last_price_fallback
2026-06-29,put,265.0,0.0,0.0,0.05,12.0,0,0.05,last_price_fallback
2026-06-29,put,267.5,0.0,0.0,0.14,2.0,0,0.14,last_price_fallback
2026-06-29,put,270.0,0.0,0.0,0.1,9.0,0,0.1,last_price_fallback
2026-06-29,put,272.5,0.0,0.0,0.15,1.0,0,0.15,last_price_fallback
2026-06-29,put,275.0,0.0,0.0,0.04,4.0,0,0.04,last_price_fallback
2026-06-29,put,277.5,0.0,0.0,0.2,4.0,0,0.2,last_price_fallback
2026-06-29,put,280.0,0.0,0.0,0.29,110.0,0,0.29,last_price_fallback
2026-06-29,put,282.5,0.0,0.0,0.47,21.0,0,0.47,last_price_fallback
2026-06-29,put,285.0,0.0,0.0,0.6,67.0,0,0.6,last_price_fallback
2026-06-29,put,287.5,0.0,0.0,0.92,62.0,0,0.92,last_price_fallback
2026-06-29,put,290.0,0.0,0.0,1.4,332.0,0,1.4,last_price_fallback
2026-06-29,put,292.5,0.0,0.0,1.99,100.0,0,1.99,last_price_fallback
2026-06-29,put,295.0,0.0,0.0,2.85,1436.0,0,2.85,last_price_fallback
2026-06-29,put,297.5,0.0,0.0,4.05,510.0,0,4.05,last_price_fallback
2026-06-29,put,300.0,0.0,0.0,5.1,314.0,0,5.1,last_price_fallback
2026-06-29,put,302.5,0.0,0.0,6.3,78.0,0,6.3,last_price_fallback
2026-06-29,put,305.0,0.0,0.0,7.65,65.0,0,7.65,last_price_fallback
2026-06-29,put,307.5,0.0,0.0,10.53,17.0,0,10.53,last_price_fallback
2026-06-29,put,310.0,0.0,0.0,11.0,32.0,0,11.0,last_price_fallback
2026-06-29,put,312.5,0.0,0.0,16.19,,0,16.19,last_price_fallback
2026-06-29,put,315.0,0.0,0.0,17.67,164.0,0,17.67,last_price_fallback
2026-06-29,put,317.5,0.0,0.0,20.04,164.0,0,20.04,last_price_fallback
2026-06-29,put,320.0,0.0,0.0,20.67,16.0,0,20.67,last_price_fallback
